feature,Coef.,Std. Error,z,Pr(>|z|),feature_raw,coef,ci_low,ci_high,abs_coef,or,or_ci_low,or_ci_high,sig_ci
(Intercept),1.6809258440634574,0.07572255670684654,22.198482422761018,3.5524225529969767e-109,(Intercept),1.6809258440634574,1.532509632918038,1.8293420552088766,1.6809258440634574,5.370525939617884,4.629781306281175,6.229786454271215,True
area_dwell_proportion_answer_A,1.1040146790978844,0.06156756174887694,17.931758993493403,6.663770844668319e-72,area_dwell_proportion__answer_A,1.1040146790978844,0.9833422580700857,1.2246871001256832,1.1040146790978844,3.016251028966053,2.673376440806008,3.403101086278687,True
num_label_visits_wrong_mean,-0.3913094776950793,0.03782876492189879,-10.344230865135996,4.4447085319053385e-25,num_label_visits__wrong_mean,-0.3913094776950793,-0.4654538569420009,-0.31716509844815766,0.3913094776950793,0.6761708638549027,0.6278500863954077,0.7282105187739756,True
num_label_visits_contrast,0.7716631542989696,0.03627555916864129,21.272260772372608,2.051511888117432e-100,num_label_visits__contrast,0.7716631542989696,0.7005630583284327,0.8427632502695065,0.7716631542989696,2.1633612670168474,2.014886886978466,2.322776529975381,True
area_dwell_proportion_answer_D,0.11674345327016825,0.04198671129515704,2.7804857696400247,0.005427763852013226,area_dwell_proportion__answer_D,0.11674345327016825,0.03444949913166044,0.19903740740867604,0.11674345327016825,1.1238310775163947,1.035049756144769,1.2202276105990497,True
mean_first_fixation_duration_wrong_mean,-0.40143590001718266,0.03722737728667602,-10.783351642686357,4.125734315479276e-27,mean_first_fixation_duration__wrong_mean,-0.40143590001718266,-0.47440155949906765,-0.32847024053529766,0.40143590001718266,0.6693582241752895,0.6222573290501193,0.7200243554463783,True
num_label_visits_distance_furthest,-0.41235789662147687,0.0385093429446979,-10.707996166375821,9.33607137316095e-27,num_label_visits__distance_furthest,-0.41235789662147687,-0.48783620879308476,-0.336879584449869,0.41235789662147687,0.6620872748448966,0.6139534249802979,0.7139948108044332,True
has_xyx,-0.12735477847196752,0.02531668707363878,-5.030467774141617,4.892846245261937e-07,has_xyx,-0.12735477847196752,-0.17697548513629952,-0.07773407180763552,0.12735477847196752,0.8804212626720174,0.8378003228319684,0.9252104333701171,True
area_dwell_proportion_answer_B,-0.44967216142029703,0.04882411307033987,-9.210042602770148,3.259955187706357e-20,area_dwell_proportion__answer_B,-0.44967216142029703,-0.5453674230381632,-0.3539768998024309,0.44967216142029703,0.6378372249986665,0.5796287752445948,0.7018911809930771,True
mean_max_fix_pupil_size_z_wrong_mean,-0.23822330315631698,0.027190471608726965,-8.761278825331503,1.9304763754879097e-18,mean_max_fix_pupil_size_z__wrong_mean,-0.23822330315631698,-0.29151662750942187,-0.18492997880321213,0.23822330315631698,0.7880267025951565,0.7471295905953819,0.8311624808062229,True
skip_rate_distance_closest,0.18754772559490562,0.033607456266035396,5.5805391550697765,2.3977416592722697e-08,skip_rate__distance_closest,0.18754772559490562,0.12167711131347625,0.253418339876335,0.18754772559490562,1.2062878188509842,1.1293893758484073,1.2884221624762124,True
area_dwell_proportion_answer_C,-0.2480536963137492,0.045711408926852284,-5.426516096029472,5.7464645254430984e-08,area_dwell_proportion__answer_C,-0.2480536963137492,-0.33764805781037965,-0.15845933481711874,0.2480536963137492,0.7803180419506662,0.7134463355840769,0.8534576690974756,True
mean_max_fix_pupil_size_z_contrast,-0.07099247844972582,0.025724263898056165,-2.759747712551274,0.005784601405653049,mean_max_fix_pupil_size_z__contrast,-0.07099247844972582,-0.1214120356899159,-0.020572921209535744,0.07099247844972582,0.9314688981913904,0.8856689571812201,0.9796372575361167,True
first_encounter_avg_pupil_size_z_distance_closest,-0.02908199002287354,0.024050894426963888,-1.209185384401721,0.22659163150835315,first_encounter_avg_pupil_size_z__distance_closest,-0.02908199002287354,-0.07622174309972277,0.018057763053975683,0.02908199002287354,0.9713368212734818,0.9266107142449599,1.018221790291374,False
num_label_visits_question,-0.10294663572042208,0.033782760725168455,-3.0473126976779588,0.0023089737453342025,num_label_visits__question,-0.10294663572042208,-0.16916084674175225,-0.03673242469909191,0.10294663572042208,0.9021751161220813,0.8443730778043879,0.9639340257819639,True
